Value (kWh),Temp_avg,season,year,Time_of_day
1.057,74.8,зима,2016,ночь
1.171,74.8,зима,2016,ночь
0.56,74.8,зима,2016,ночь
0.828,74.8,зима,2016,ночь
0.932,74.8,зима,2016,ночь
0.3329999999999999,74.8,зима,2016,ночь
0.462,74.8,зима,2016,утро
0.493,74.8,зима,2016,утро
0.325,74.8,зима,2016,утро
0.294,74.8,зима,2016,утро
0.273,74.8,зима,2016,утро
0.723,74.8,зима,2016,утро
0.426,74.8,зима,2016,день
0.421,74.8,зима,2016,день
0.447,74.8,зима,2016,день
0.496,74.8,зима,2016,день
0.523,74.8,зима,2016,день
3.647,74.8,зима,2016,день
3.018,74.8,зима,2016,вечер
3.326,74.8,зима,2016,вечер
2.175,74.8,зима,2016,вечер
2.9730000000000003,74.8,зима,2016,вечер
2.994,74.8,зима,2016,вечер
1.794,74.8,зима,2016,вечер
1.281,71.2,зима,2016,ночь
1.169,71.2,зима,2016,ночь
1.231,71.2,зима,2016,ночь
0.909,71.2,зима,2016,ночь
0.825,71.2,зима,2016,ночь
0.55,71.2,зима,2016,ночь
0.514,71.2,зима,2016,утро
0.536,71.2,зима,2016,утро
0.657,71.2,зима,2016,утро
0.655,71.2,зима,2016,утро
0.8859999999999999,71.2,зима,2016,утро
0.894,71.2,зима,2016,утро
0.8240000000000001,71.2,зима,2016,день
0.55,71.2,зима,2016,день
0.537,71.2,зима,2016,день
0.799,71.2,зима,2016,день
0.833,71.2,зима,2016,день
3.408,71.2,зима,2016,день
3.071,71.2,зима,2016,вечер
1.642,71.2,зима,2016,вечер
0.8959999999999999,71.2,зима,2016,вечер
2.71,71.2,зима,2016,вечер
1.176,71.2,зима,2016,вечер
2.236,71.2,зима,2016,вечер
0.736,72.1,зима,2016,ночь
1.102,72.1,зима,2016,ночь
0.624,72.1,зима,2016,ночь
0.595,72.1,зима,2016,ночь
0.7020000000000001,72.1,зима,2016,ночь
0.308,72.1,зима,2016,ночь
0.364,72.1,зима,2016,утро
0.534,72.1,зима,2016,утро
0.471,72.1,зима,2016,утро
0.356,72.1,зима,2016,утро
0.263,72.1,зима,2016,утро
